Fundos,Setor,Preço Atual (R$),Liquidez Diária (R$),P/VP,Último Dividendo,Dividend Yield,DY (3M) Acumulado,DY (6M) Acumulado,DY (12M) Acumulado,DY (3M) média,DY (6M) média,DY (12M) média,DY Ano,Variação Preço,Rentab. Período,Rentab. Acumulada,Patrimônio Líquido,VPA,P/VPA,DY Patrimonial,Variação Patrimonial,Rentab. Patr. Período,Rentab. Patr. Acumulada,Quant. Ativos,Volatilidade,Num. Cotistas,Tax. Gestão,Tax. Performance,Tax. Administração
AAGR11,Indefinido,105,"13.649,30",N/A,"1,4","1,49 %","2,78 %","7,48 %","15,28 %","0,93 %","1,25 %","1,27 %","2,78 %","-17,49 %","-16,26 %","0,18 %",N/A,N/A,N/A,"0,00 %","0,00 %","0,00 %","0,00 %",0,"5.140,37",0,N/A,N/A,N/A
AAZQ11,Indefinido,"8,37","263.105,70","0,96","0,11","1,33 %","3,81 %","8,53 %","17,94 %","1,27 %","1,42 %","1,50 %","5,37 %","-1,79 %","-0,48 %","11,28 %","207.795.960,78","8,64","0,97","1,22 %","0,00 %","0,00 %","0,00 %",0,"1.268,51",30.996,N/A,"10,00 % a.a","1,20 % a.a"
ABCP11,Shoppings,"79,79","44.911,40","0,73","0,65","0,78 %","2,45 %","4,59 %","9,76 %","0,82 %","0,77 %","0,81 %","1,59 %","4,02 %","4,83 %","12,50 %","521.097.520,28","110,81","0,72","0,59 %","20,68 %","21,39 %","30,03 %",1,"2.598,50",13.739,N/A,N/A,"0,10 % a.a"
AFHI11,Papéis,"96,52","628.252,40","1,01","1,01","1,05 %","3,17 %","6,53 %","13,60 %","1,06 %","1,09 %","1,13 %","1,05 %","0,90 %","1,96 %","1,96 %","455.471.231,44","95,08","1,02","1,06 %","0,12 %","1,18 %","7,52 %",14,"628,16",38.529,N/A,N/A,"1,00 % a.a"
AGRX11,Indefinido,"8,89","293.544,05","0,86","0,12","1,32 %","4,23 %","8,75 %","18,60 %","1,41 %","1,46 %","1,55 %","5,64 %","0,55 %","1,88 %","23,93 %","185.817.205,61","10,38","0,86","1,25 %","0,00 %","0,00 %","0,00 %",0,"1.442,70",19.345,N/A,"10,00 % a.a","1,00 % a.a"
AIEC11,Lajes Corporativas,"61,56","3.524.701,15","0,81","0,34","0,63 %","1,92 %","3,94 %","8,36 %","0,64 %","0,66 %","0,70 %","1,27 %","1,92 %","2,57 %","3,85 %","366.252.503,18","75,96","0,81","0,45 %","-18,77 %","-18,40 %","-17,46 %",2,"1.410,56",12.237,N/A,"20,00 % a.a","0,75 % a.a"
AJFI11,Shoppings,"8,25","147.312,25","0,75","0,05","0,60 %","1,81 %","3,64 %","8,47 %","0,60 %","0,61 %","0,71 %","2,44 %","-1,19 %","-0,60 %","10,45 %","372.202.311,34",N/A,N/A,N/A,N/A,N/A,N/A,12,"946,98",10.021,"0,60 % a.a",N/A,"0,10 % a.a"
ALMI11,Lajes Corporativas,655,"4.457,25","0,31","4,53","0,72 %","2,24 %","3,67 %","6,50 %","0,75 %","0,61 %","0,54 %","1,53 %","6,22 %","6,98 %","-5,73 %","223.708.735,66","2.046,78","0,32","0,00 %","-0,05 %","-0,05 %","0,90 %",1,"11.782,87",1.861,N/A,N/A,"0,38 % a.a"
ALZC11,Papéis,"7,76","159.325,30","0,83","0,11","1,38 %","3,91 %","8,03 %","16,60 %","1,30 %","1,34 %","1,38 %","1,38 %","-0,64 %","0,73 %","0,73 %","182.987.415,91",N/A,N/A,N/A,N/A,N/A,N/A,14,"1.621,16",10.712,N/A,"20,00 % a.a","1,30 % a.a"
ALZR11,Misto,"10,6","1.625.467,55",1,"0,08","0,79 %","2,35 %","4,76 %","9,94 %","0,78 %","0,79 %","0,83 %","3,15 %","-0,65 %","0,13 %","4,66 %","1.486.717.530,70","10,59",1,"0,79 %","-90,09 %","-90,01 %","-89,22 %",23,"692,97",196.632,"0,70 % a.a",N/A,"0,25 % a.a"
APTO11,Imóveis Residenciais,"8,46","19.785,35","0,86","0,08","0,93 %","3,06 %","6,32 %","13,22 %","1,02 %","1,05 %","1,10 %","1,99 %","1,77 %","2,72 %","4,18 %","45.150.587,11","9,78","0,87","0,82 %","-1,81 %","-1,00 %","13,04 %",3,"1.321,98",7.779,N/A,"20,00 % a.a","1,50 % a.a"
